"zip_code","household_income"
"11783",7101
"11784",8204
"11786",1924
"11787",11804
"11788",5548
"11789",2753
"11790",4488
"11791",8110
"11792",3062
"11793",10348
"11794",0
"11795",8176
"11796",1352
"11797",3045
"11798",5004
"11801",12823
"11803",10338
"11804",1388
"11901",11406
"11930",353
"11931",0
"11932",402
"11933",2981
"11934",2709
"11935",1208
"11937",8336
"11939",722
"11940",1929
"11941",869
"11942",2267
"11944",2203
"11946",6458
"11947",69
"11948",228
"11949",4996
"11950",4689
"11951",4819
"11952",2186
"11953",5660
"11954",1580
"11955",1452
"11956",145
"11957",638
"11958",384
"11959",249
"11960",430
"11961",5625
"11962",161
"11963",3556
"11964",1228
"11965",347
"11967",8315
"11968",5314
"11970",275
"11971",2515
"11972",181
"11973",0
"11975",213
"11976",1140
"11977",1100
"11978",1506
"11980",2217
"12007",145
"12008",166
"12009",3169
"12010",11020
"12015",1615
"12017",212
"12018",2895
"12019",6493
"12020",14308
"12022",359
"12023",848
"12024",52
"12025",2257
"12027",1608
"12028",378
"12029",496
"12031",70
"12032",318
"12033",3387
"12035",205
"12036",78
"12037",1733
"12040",19
"12041",136
"12042",134
"12043",2789
"12045",186
"12046",265
"12047",9684
"12051",1472
"12052",701
"12053",1622
"12054",6967
"12056",749
"12057",727
"12058",492
"12059",608
"12060",774
"12061",4037
"12062",704
"12063",282
"12064",123
"12065",18043
"12066",776
"12067",596
"12068",875
"12069",164
"12070",784
"12071",99
"12072",987
"12074",1121
"12075",1104
"12076",573
"12077",2634
"12078",9563
"12082",2
"12083",1212
"12084",2204
"12085",114
"12086",674
"12087",441
"12090",2251
"12092",674
"12093",613
"12094",864
"12095",5312
"12106",1002
"12108",128
"12110",8009
"12115",49
"12116",574
"12117",1264
"12118",7205
"12120",254
"12121",728
"12122",1758
"12123",2092
"12124",121
"12125",427
"12130",140
"12131",76
"12132",66
"12134",1721
"12136",331
"12137",748
"12138",1243
"12139",94
"12140",580
"12143",2202
"12144",9413
"12147",218
"12148",1892
"12149",930
"12150",278
"12151",384
"12153",303
"12154",1202
"12155",694
"12156",278
"12157",1798
"12158",2687
"12159",3702
"12160",376
"12161",18
"12164",173
"12165",105
"12166",583
"12167",1034
"12168",696
"12169",192
"12170",2107
"12172",63
"12173",729
"12174",215
"12175",279
"12176",160
"12177",165
"12180",22006
"12182",6737
"12183",1344
"12184",2859
"12185",688
"12186",2536
"12187",294
"12188",5011
"12189",8731
"12190",203
"12192",569
"12193",773
"12194",58
"12195",98
"12196",1310
"12197",733
"12198",2907
"12202",4632
"12203",13830
"12204",4120
"12205",11444
"12206",6394
"12207",1310
"12208",10520
"12209",4303
"12210",5278
"12211",4154
"12222",15
"12226",0
"12302",11061
"12303",11740
"12304",8715
"12305",3445
"12306",11109
"12307",3145
"12308",5938
"12309",12675
"12401",14860
"12404",1591
"12405",235
"12406",298
"12407",43
"12409",415
"12410",219
"12411",181
"12412",248
"12413",1249
"12414",4277
"12416",135
"12417",376
"12418",120
"12419",351
"12420",93
"12421",114
"12422",185
"12423",462
"12424",155
"12427",133
"12428",2852
"12429",49
"12430",560
"12431",709
"12432",279
"12433",265
"12434",439
"12435",82
"12436",241
"12438",15
"12439",128
"12440",640
"12441",66
"12442",357
"12443",1577
"12444",162
"12446",2032
"12448",85
"12449",1175
"12450",96
"12451",399
"12452",14
"12453",100
"12454",152
"12455",780
"12456",258
"12457",571
"12458",948
"12459",35
"12460",108
"12461",634
"12463",642
"12464",572
"12465",195
"12466",842
"12468",550
"12469",367
"12470",234
"12471",268
"12472",603
"12473",227
"12474",428
"12475",212
"12477",8078
"12480",156
"12481",589
"12482",166
"12483",41
"12484",1433
"12485",287
"12486",643
"12487",1422
"12489",92
"12490",0
"12491",832
"12492",84
"12493",76
"12494",374
"12495",80
"12496",503
"12498",2415
"12501",924
"12502",400
"12503",274
"12504",0
"12507",79
"12508",7855
"12512",86
"12513",94
"12514",1266
"12515",536
"12516",729
"12517",175
"12518",2300
"12520",1226
"12521",722
"12522",1829
"12523",839
"12524",6617
"12525",651
"12526",1518
"12527",9
"12528",5502
"12529",1075
"12530",44
"12531",971
"12533",8558
"12534",7524
"12538",5525
"12540",3075
"12542",2292
"12543",1336
"12544",15
"12545",2159
"12546",1181
"12547",1323
"12548",383
"12549",3648
"12550",20141
"12553",10121
"12561",6351
"12563",2248
"12564",2826
"12565",559
"12566",4238
"12567",1032
"12569",3879
"12570",2295
"12571",3688
"12572",4258
"12574",153
"12575",467
"12577",542
"12578",864
"12580",1730
"12581",866
"12582",1556
"12583",734
"12585",393
"12586",4627
"12589",5291
"12590",14527
"12592",450
"12594",1684
"12601",16935
"12603",16848
"12604",52
"12701",4726
"12719",553
"12720",48
"12721",2402
"12722",0
"12723",809
"12724",40
"12725",81
"12726",595
"12729",580
"12732",462
"12733",97
"12734",403
"12736",78
"12737",569
"12738",104
"12740",726
"12741",99
"12742",88
"12743",142
"12745",5
"12746",244
"12747",786
"12748",778
"12749",143
"12750",28
"12751",393
"12752",167
"12754",2634
"12758",1964
"12759",608
"12760",206
"12762",123
"12763",305
"12764",835
"12765",378
"12766",293
"12767",74
"12768",326
"12769",170
"12770",86
"12771",5484
"12775",943
"12776",760
"12777",346
"12778",205
"12779",849
"12780",997
"12781",86
"12783",639
"12784",0
"12785",330
"12786",274
"12787",66
"12788",845
"12789",932
"12790",1789
"12791",230
"12792",85
"12801",6680
"12803",3764
"12804",12266
"12808",108
"12809",1430
"12810",215
"12811",84
"12812",54
"12814",635
"12815",552
"12816",2009
"12817",921
"12819",111
"12820",32
"12821",122
"12822",2396
"12823",166
"12824",482
"12827",1463
"12828",3875
"12831",6968
"12832",2697
"12833",2137
"12834",2497
"12835",1204
"12836",266
"12837",337
"12838",301
"12839",6123
"12841",67
"12842",316
"12843",284
"12844",114
"12845",1994
"12846",1622
"12847",236
"12849",159
"12850",1041
"12851",132
"12852",178
"12853",578
"12854",36
"12855",105
"12856",177
"12857",326
"12858",75
"12859",682
"12860",150
"12861",218
"12862",139
"12863",312
"12864",3
"12865",1364
"12866",17410
"12870",749
"12871",1694
"12872",53
"12873",355
"12874",87
"12878",271
"12883",2042
"12884",241
"12885",2073
"12886",103
"12887",1625
"12901",14030
"12903",841
"12910",607
"12911",0
"12912",717
"12913",434
"12914",351
"12915",34
"12916",992
"12917",455
"12918",1112
"12919",1098
"12920",1024
"12921",963
"12922",17
"12923",227
"12924",80
"12926",1006
"12927",158
"12928",795
"12929",395
"12930",298
"12932",537
"12933",14
"12934",476
"12935",638
"12936",310
"12937",583
"12939",78
"12941",704
"12942",278
"12943",122
"12944",1613
"12945",212
"12946",2225
"12950",299
"12952",104
"12953",4620
"12955",183
"12956",490
"12957",776
"12958",733
"12959",772
"12960",427
"12961",86
"12962",2178
"12964",34
"12965",131
"12966",1217
"12967",487
"12969",119
"12970",151
"12972",2813
"12973",67
"12974",929
"12975",125
"12976",99
"12977",5
"12978",81
"12979",1195
"12980",523
"12981",897
"12983",3458
"12985",374
"12986",2356
"12987",73
"12989",459
"12992",1621
"12993",740
"12996",818
"12997",558
"12998",105
"13020",37
"13021",16676
"13024",0
"13026",565
"13027",14585
"13028",309
"13029",3006
"13030",1537
"13031",6840
"13032",4957
"13033",1290
"13034",796
"13035",3034
"13036",3658
"13037",3629
"13039",6727
"13040",1048
"13041",4473
"13042",852
"13044",1172
"13045",10988
"13051",37
"13052",638
"13053",1840
"13054",420
"13057",6420
"13060",1156
"13061",287
"13062",111
"13063",880
"13065",97
"13066",5417
"13068",2059
"13069",9862
"13071",311
"13072",342
"13073",2732
"13074",1752
"13076",938
"13077",2947
"13078",3784
"13080",1419
"13081",483
"13082",1514
"13083",860
"13084",1596
"13087",68
"13088",10472
"13090",11996
"13092",1025
"13101",945
"13102",29
"13103",123
"13104",6436
"13108",2712
"13110",907
"13111",595
"13112",598
"13113",26
"13114",3013
"13115",91
"13116",1445
"13117",108
"13118",2113
"13119",0
"13120",897
"13121",0
"13122",468
"13123",32
"13124",46
"13126",13759
"13131",1297
"13132",1636
"13134",25
"13135",2349
"13136",135
"13138",52
"13140",1690
"13141",269
"13142",2442
"13143",847
"13144",462
"13145",708
"13146",752
"13147",359
"13148",4908
"13152",3270
"13153",112
"13154",11
"13155",223
"13156",982
"13157",301
"13158",525
"13159",2036
"13160",798
"13162",206
"13163",104
"13164",914
"13165",4108
"13166",2420
"13167",1222
"13202",3292
"13203",7813
"13204",8512
"13205",7223
"13206",7850
"13207",5391
"13208",9046
"13209",5933
"13210",7723
"13211",2389
"13212",8924
"13214",3097
"13215",5549
"13219",6309
"13224",3632
"13244",5
"13290",0
"13301",64
"13302",591
"13303",534
"13304",753
"13305",91
"13308",1684
"13309",2622
"13310",280
"13312",159
"13313",235
"13314",32
"13315",529
"13316",2691
"13317",1266
"13318",383
"13319",311
"13320",708
"13321",458
"13322",392
"13323",4376
"13324",734
"13325",403
"13326",1877
"13327",810
"13328",616
"13329",1468
"13331",42
"13332",880
"13333",34
"13334",433
"13335",482
"13337",321
"13338",592
"13339",2082
"13340",3159
"13342",81
"13343",678
"13345",79
"13346",1770
"13348",608
"13350",4163
"13352",2
"13353",21
"13354",1245
"13355",369
"13357",4482
"13360",41
"13361",248
"13363",902
"13364",98
"13365",3193
"13367",3511
"13368",447
"13402",541
"13403",1921
"13404",52
"13406",177
"13407",1924
"13408",792
"13409",818
"13410",285
"13411",1137
"13413",6831
"13415",39
"13416",862
"13417",1655
"13418",72
"13420",529
"13421",5539
"13424",920
"13425",756
"13428",658
"13431",699
"13433",626
"13435",75
"13436",49
"13437",125
"13438",1283
"13439",1364
"13440",17390
"13441",146
"13450",69
"13452",1858
"13454",318
"13455",11
"13456",1459
"13457",23
"13459",792
"13460",1632
"13461",1323
"13464",522
"13468",104
"13469",476
"13470",241
"13471",1072
"13472",111
"13473",418
"13475",23
"13476",1210
"13477",556
"13478",1299
"13480",1327
"13482",25
"13483",138
"13484",29
"13485",521
"13486",333
"13488",74
"13489",200
"13490",427
"13491",1336
"13492",4779
"13493",776
"13494",97
"13495",943
"13501",14933
"13502",13471
"13601",16574
"13602",0
"13603",4626
"13605",1987
"13606",933
"13607",900
"13608",688
"13611",137
"13612",1199
"13613",1088
"13614",106
